1.9927e+05,1.9854e+05,1.9654e+05,1.9242e+05,1.8647e+05,1.7798e+05,1.6693e+05,1.5446e+05,1.4005e+05,1.2272e+05,1.0385e+05,84568,66687,51284,37101,25670,16763,9595,4456,1241
3.8569e+05,3.8447e+05,3.8034e+05,3.73e+05,3.6192e+05,3.455e+05,3.2314e+05,2.9761e+05,2.6954e+05,2.3616e+05,1.9882e+05,1.619e+05,1.2763e+05,97253,69527,48382,31469,18094,7309,2154
3.5302e+05,3.5199e+05,3.4819e+05,3.4181e+05,3.3163e+05,3.1623e+05,2.9568e+05,2.7408e+05,2.4801e+05,2.1845e+05,1.8581e+05,1.5141e+05,1.1942e+05,90723,66335,44652,29511,16810,7175,2081
3.2644e+05,3.2549e+05,3.2214e+05,3.1581e+05,3.0658e+05,2.9377e+05,2.7649e+05,2.544e+05,2.3039e+05,2.0283e+05,1.7266e+05,1.3952e+05,1.1007e+05,83749,60695,41580,26925,15845,7814,2244
2.2836e+05,2.2769e+05,2.249e+05,2.1958e+05,2.1209e+05,2.029e+05,1.906e+05,1.7489e+05,1.5791e+05,1.3832e+05,1.1604e+05,94834,74734,56813,41370,28437,18314,10414,4977,1417
1.4273e+05,1.4208e+05,1.404e+05,1.3671e+05,1.3178e+05,1.2557e+05,1.183e+05,1.091e+05,98523,86434,73073,59573,47399,35658,26226,18566,12085,6839,2841,883
85110,84789,83685,82150,80207,76988,72855,67653,60753,53456,45612,37571,30057,23118,17002,11689,7561,3869,1704,453
56730,56414,55856,54779,53174,50913,48088,45175,40959,36183,31252,25750,20455,15603,11341,7995,4883,2333,885,169
5105,5052,4999,4881,4696,4565,4280,4038,3689,3260,2773,2270,1916,1491,1082,763,468,202,87,22
